日期,股票代码,股票名称,操作,价格,涨跌幅,原因
20240514,600715.SH,文投控股,买入,1.6,,
20240515,600715.SH,,卖出,10.83,+576.9%,涨20%
20240517,600206.SH,有研新材,买入,9.69,,
20240930,600206.SH,,卖出,12.21,+26.0%,涨20%
20241021,600138.SH,中青旅,买入,10.29,,
20241031,600138.SH,,卖出,11.38,+10.6%,双死叉
20241203,600489.SH,中金黄金,买入,12.62,,
20241204,600489.SH,,卖出,11.46,-9.2%,亏5%
20250114,000546.SZ,金圆股份,买入,4.66,,
20250115,000546.SZ,,卖出,11.48,+146.3%,涨20%
20250115,600395.SH,盘江股份,买入,4.91,,
20250116,600395.SH,,卖出,11.57,+135.6%,涨20%
20250116,600062.SH,华润双鹤,买入,19.28,,
20250117,600062.SH,,卖出,11.45,-40.6%,亏5%
20250117,000636.SZ,风华高科,买入,14.26,,
20250120,000636.SZ,,卖出,11.42,-19.9%,亏5%
20250123,600233.SH,圆通速递,买入,13.49,,
20250124,600233.SH,,卖出,11.34,-15.9%,亏5%
20250124,600586.SH,金晶科技,买入,5.15,,
20250127,600586.SH,,卖出,11.47,+122.7%,涨20%
20250127,600452.SH,涪陵电力,买入,9.41,,
20250205,600452.SH,,卖出,11.37,+20.8%,涨20%
20250205,000659.SZ,珠海中富,买入,2.55,,
20250206,000659.SZ,,卖出,11.36,+345.5%,涨20%
